tick,flightState,filtered_altitude,filtered_acceleration
4832,IDLE,-0.237279,9.8984
4845,IDLE,-0.239666,9.89819
4858,IDLE,-0.232272,9.89837
4871,IDLE,-0.23178,9.89793
4897,IDLE,-0.233249,9.89783
4910,IDLE,-0.233249,9.8979
4923,IDLE,-0.233249,9.89786
4936,IDLE,-0.233249,9.89798
4953,IDLE,-0.233249,9.89822
4966,IDLE,-0.233249,9.89815
4979,IDLE,-0.233249,9.89785
4992,IDLE,-0.233249,9.89798
5036,IDLE,-0.231774,10.9005
5053,IDLE,-0.230322,10.804
5066,IDLE,-0.225047,10.714
5079,IDLE,-0.217863,10.6353
5092,IDLE,-0.212621,10.5711
5105,IDLE,-0.207405,10.51
5118,IDLE,-0.20024,10.4584
5131,IDLE,-0.198077,10.4086
5144,IDLE,-0.194947,10.3625
5157,IDLE,-0.188867,10.3207
5170,IDLE,-0.181803,10.2864
5183,IDLE,-0.181849,10.2611
5196,IDLE,-0.180882,10.2366
5209,IDLE,-0.175948,10.2094
5222,IDLE,-0.172049,10.1885
5237,IDLE,-0.168188,10.1684
5254,IDLE,-0.160353,10.1518
5267,IDLE,-0.154535,10.1353
5280,IDLE,-0.147723,10.122
5293,IDLE,-0.145045,10.1084
5306,IDLE,-0.143437,10.0963
5319,IDLE,-0.139813,10.0838
5332,IDLE,-0.132141,10.0739
5345,IDLE,-0.131699,10.0646
5358,IDLE,-0.130245,10.0548
5371,IDLE,-0.125763,10.0476
5384,IDLE,-0.118262,10.0406
5401,IDLE,-0.115914,10.0358
5418,IDLE,-0.110522,10.03
5431,IDLE,-0.102064,10.0229
5444,IDLE,-0.0998641,10.0173
5461,IDLE,-0.0956163,10.0116
5474,IDLE,-0.0955815,10.0083
5487,IDLE,-0.0934852,10.0038
5500,IDLE,-0.0852652,10.0003
5513,IDLE,-0.0780707,9.99692
5526,IDLE,-0.0771871,9.99269
5539,IDLE,-0.0763211,9.98897
5552,IDLE,-0.0744373,9.98382
5565,IDLE,-0.0705319,9.97993
5578,IDLE,-0.0728347,9.97627
5591,IDLE,-0.0658958,9.97299
5604,IDLE,-0.0651625,9.97097
5617,IDLE,-0.0613709,9.96769
5630,IDLE,-0.05762,9.96578
5643,IDLE,-0.0528888,9.96383
5660,IDLE,-0.0502494,9.96112
5673,IDLE,-0.0445792,9.95843
5687,IDLE,-0.0399657,9.9577
5700,IDLE,-0.030227,9.95697
5713,IDLE,-0.0225289,9.95527
5726,IDLE,-0.0201472,9.95376
5739,IDLE,-0.0167435,9.95305
5752,IDLE,-0.0154946,9.95237
5765,IDLE,-0.0163642,9.95012
5778,IDLE,-0.0120278,9.94861
5791,IDLE,-0.0129301,9.94664
5804,IDLE,-0.00866176,9.9455
5817,IDLE,-0.00443446,9.94523
5830,IDLE,-0.00127983,9.94427
5847,IDLE,0.00286351,9.94165
5864,IDLE,0.0069654,9.9408
5877,IDLE,0.00999392,9.93871
5890,IDLE,0.0171111,9.93713
5903,IDLE,0.0252637,9.93598
5916,IDLE,0.0270872,9.93602
5929,IDLE,0.029931,9.93547
5942,IDLE,0.0306423,9.93508
5955,IDLE,0.0292664,9.93422
5968,IDLE,0.0340847,9.93328
5981,IDLE,0.0357703,9.93359
6011,IDLE,0.0374269,9.93225
6024,IDLE,0.0374269,9.93233
6037,IDLE,0.0374269,9.93182
6050,IDLE,0.0374269,9.93146
6063,IDLE,0.0374269,9.93122
6080,IDLE,0.0374269,9.93073
6093,IDLE,0.0374269,9.93084
6106,IDLE,0.0374269,9.9302
6121,IDLE,0.0370154,9.92887
6134,IDLE,0.0345868,9.92799
6147,IDLE,0.0342115,9.927
6160,IDLE,0.0328497,9.9263
6173,IDLE,0.027539,9.92567
6186,IDLE,0.0252459,9.92508
6199,IDLE,0.0200059,9.92554
6212,IDLE,0.0207858,9.92547
6225,IDLE,0.0156087,9.92477
6238,IDLE,0.0124545,9.92429
6251,IDLE,0.0103283,9.92388
6264,IDLE,0.00823357,9.92355
6281,IDLE,0.00716326,9.92286
6294,IDLE,0.00611198,9.92286
6307,IDLE,0.00701672,9.92247
6320,IDLE,0.0030877,9.92202
6333,IDLE,0.00305555,9.92091
6346,IDLE,0.00207048,9.92046
6359,IDLE,0.00204929,9.92032
6372,IDLE,-0.00361549,9.91952
6385,IDLE,-0.00357856,9.91934
6398,IDLE,-0.00729477,9.91951
6411,IDLE,-0.0109807,9.91947
6428,IDLE,-0.0118084,9.91916
6445,IDLE,-0.0126217,9.91856
6458,IDLE,-0.01157,9.91832
6471,IDLE,-0.0169914,9.91807
6488,IDLE,-0.0177479,9.91798
6501,IDLE,-0.0175715,9.91734
6514,IDLE,-0.0183097,9.91705
6527,IDLE,-0.0190354,9.91662
6540,IDLE,-0.0179525,9.91634
6555,IDLE,-0.0213599,9.91613
6568,IDLE,-0.0193643,9.91568
6581,IDLE,-0.0218632,9.91535
6594,IDLE,-0.0216527,9.91485
6607,IDLE,-0.0223292,9.91458
6620,IDLE,-0.0247576,9.91444
6633,IDLE,-0.0253992,9.91461
6646,IDLE,-0.0269093,9.91429
6659,IDLE,-0.0283991,9.91363
6672,IDLE,-0.0315943,9.91332
6690,IDLE,-0.0339016,9.91337
6703,IDLE,-0.0327219,9.91301
6716,IDLE,-0.033277,9.9121
6729,IDLE,-0.034685,9.91108
6742,IDLE,-0.0394801,9.91091
6755,IDLE,-0.0434133,9.91082
6768,IDLE,-0.0404249,9.91074
6781,IDLE,-0.0426414,9.91125
6794,IDLE,-0.0413851,9.91105
6807,IDLE,-0.0444348,9.91117
6820,IDLE,-0.0448804,9.91095
6833,IDLE,-0.0453184,9.91031
6846,IDLE,-0.0466025,9.90989
6859,IDLE,-0.0503999,9.90992
6876,IDLE,-0.0490955,9.90988
6893,IDLE,-0.0511807,9.90976
