tick,gx,gy,gz
236637,-0.335704,-0.0762963,-1.03763
237643,0.747703,0.930815,0.21363
238645,0.274667,-0.946074,-0.137333
239655,0.625629,-0.0457778,1.236
240663,0.427259,-0.412,0.274667
241667,0.320444,-0.259407,0.640889
242667,-0.274667,-0.656148,0.335704
243673,0.869778,0.793481,-0.534074
244679,-0.335704,-0.686666,0.946074
245687,1.14444,0.305185,0.0305185
246699,0.564592,0.274667,1.29704
247701,-0.534074,-0.19837,-0.747703
248706,1.1597,0.991852,0.19837
249706,-0.21363,0.946074,-0.930815
250712,1.03763,0.228889,0.19837
251718,-0.335704,0.793481,-0.183111
252718,0.274667,-0.549333,0.152593
253720,0.793481,0.686666,0.595111
254724,0.595111,-0.0305185,-0.0152593
255730,0.854518,0.335704,0.335704
256741,0.320444,1.12918,0.793481
257742,0.167852,0.518815,1.34281
258746,0.183111,0.564592,-0.396741
259750,-0.0457778,-0.19837,0.244148
260758,0.930815,0.366222,0.350963
261762,0.747703,-0.412,-0.427259
262763,0.625629,0.0762963,-0.0762963
263769,0.61037,0.0762963,-0.061037
264773,0.289926,-0.274667,1.02237
265777,1.05289,0.244148,0.061037
266783,0.0762963,0.762963,0.412
267799,0.488296,1.06815,-0.0152593
268799,-0.0762963,0.625629,0.991852
269803,-0.21363,0.0305185,0.930815
270815,0.885037,-0.717185,1.60222
271821,-0.946074,-0.244148,-0.183111
272825,-0.0305185,0.350963,-0.473037
273841,0.320444,-0.244148,-0.152593
274841,0.259407,-1.19022,-0.976592
275849,-0.915555,-0.106815,0.350963
276851,0.701926,0.839259,-0.289926
277852,0.595111,0.19837,0.854518
278855,-0.885037,0.259407,-0.457778
279857,0.19837,-0.595111,0.671407
280865,0.80874,0.656148,0.0305185
281871,1.67852,0.274667,0.961333
282886,-0.778222,0.137333,0.442518
283886,-0.961333,0.671407,-0.442518
284894,2.15155,-0.183111,1.40385
285897,1.09867,-0.366222,0.534074
286901,0.259407,-0.0305185,0.0762963
287901,1.08341,0.625629,0.0457778
288909,-0.167852,-0.259407,-0.946074
289913,1.81585,0.564592,-0.457778
290920,0.0305185,-0.244148,-0.0762963
291931,-0.19837,0.854518,-0.259407
292937,-0.0915555,-0.457778,0.350963
293941,0.915555,-0.122074,-0.549333
294945,0.61037,0.686666,1.17496
295952,-0.259407,1.06815,0.80874
296958,-0.106815,0.579852,0.259407
297962,0.274667,-0.0915555,-0.579852
298974,0.19837,-0.19837,-0.518815
299978,0.61037,0.640889,0.595111
300979,0.549333,0.900296,0.625629
301983,0.686666,-0.0915555,-0.0305185
302987,-1.14444,-0.412,-1.28178
303993,0.930815,0.366222,0.534074
304997,-0.106815,0.350963,-0.427259
306005,0.152593,1.20548,-0.244148
307016,-0.259407,-1.32756,-1.49541
308022,-0.366222,0.885037,0.732444
309034,-0.21363,0.579852,0.350963
310051,0.686666,0.137333,0.625629
311057,0,-0.350963,0.0457778
312061,0.289926,0.106815,0.930815
313065,0.701926,-0.152593,0.473037
314067,0.717185,0.0762963,-0.122074
315073,0.503555,0.0152593,-0.106815
316081,0.335704,-0.137333,0.0152593
317085,-0.320444,-0.152593,0.0152593
318087,0.839259,0.396741,0.183111
319091,0.915555,0.0762963,0.946074
320094,-0.457778,0.0762963,-1.09867
321098,-0.0457778,0.61037,0.503555
322105,0.412,-0.244148,-0.762963
323109,1.03763,0.961333,1.81585
324113,0.427259,0.793481,-0.518815
325123,0.824,-0.564592,0.549333
326132,0.228889,0.80874,-0.335704
327147,0.839259,0.534074,0.885037
328158,0.0762963,0.366222,0.824
329164,0.579852,0.488296,-0.350963
330166,-0.427259,-0.0762963,-0.427259
331169,0.717185,-0.412,-0.335704
332172,0.244148,0.625629,0.839259
333178,1.66326,0.534074,0.686666
334182,0.0915555,0.396741,0.564592
335188,1.19022,-0.488296,0.976592
336196,-0.793481,-0.350963,-0.915555
337198,-0.0305185,0.152593,0.412
338202,0.0152593,0.549333,0.747703
339205,-0.289926,1.17496,-1.08341
340207,-0.19837,1.08341,1.1597
341215,-0.122074,-0.427259,0.885037
342215,0.396741,1.17496,1.03763
343224,1.49541,0.488296,0.381481
344230,-0.564592,-0.518815,-0.0152593
345244,1.02237,0.534074,0.350963
346248,0.335704,0.701926,0.0915555
347252,0.747703,0.579852,1.12918
348256,0.549333,0.122074,-0.427259
349260,0.793481,0.656148,0.350963
