tick,accX,accY,accZ
253720,-9.81479,1.01309,-0.193997
254724,-9.86509,1.07776,-0.201182
255730,-9.82197,1.07776,-0.237107
256741,-9.82197,1.02746,-0.179626
257742,-9.82916,1.04183,-0.222737
258746,-9.88664,0.998723,-0.244292
259750,-9.86509,1.02746,-0.229922
260758,-9.78605,1.0562,-0.237107
261762,-9.8579,1.02746,-0.179626
262763,-9.8076,1.02746,-0.193997
263769,-9.82916,1.1065,-0.201182
264773,-9.87227,1.0562,-0.129331
265777,-9.92257,1.12805,-0.107776
266783,-9.82197,1.06339,-0.201182
267799,-9.8579,1.02746,-0.172441
268799,-9.81479,1.0562,-0.251477
269803,-9.84353,1.04902,-0.208367
270815,-9.8579,1.07057,-0.165256
271821,-9.81479,1.03465,-0.244292
272825,-9.77886,1.06339,-0.222737
273841,-9.85072,1.04902,-0.193997
274841,-9.85072,1.0562,-0.179626
275849,-9.78605,1.14961,-0.258662
276851,-9.81479,1.01309,-0.172441
277852,-9.85072,1.07057,-0.186812
278855,-9.82197,0.984353,-0.222737
279857,-9.83635,1.1065,-0.244292
280865,-9.82916,0.969983,-0.237107
281871,-9.86509,1.08494,-0.172441
282886,-9.83635,0.991538,-0.193997
283886,-9.85072,1.08494,-0.172441
284894,-9.82197,0.977168,-0.237107
285897,-9.83635,1.07057,-0.237107
286901,-9.75012,1.02746,-0.258662
287901,-9.86509,1.1065,-0.287402
288909,-9.79323,1.03465,-0.229922
289913,-9.83635,1.00591,-0.215552
290920,-9.82916,1.04902,-0.208367
291931,-9.84353,1.00591,-0.251477
292937,-9.88664,0.955613,-0.222737
293941,-9.84353,1.07057,-0.244292
294945,-9.87946,1.0562,-0.222737
295952,-9.87227,1.06339,-0.179626
296958,-9.84353,0.977168,-0.158071
297962,-9.83635,1.04902,-0.172441
298974,-9.85072,1.04902,-0.208367
299978,-9.79323,1.04902,-0.193997
300979,-9.80042,1.03465,-0.143701
301983,-9.82197,1.04183,-0.186812
302987,-9.8579,1.02746,-0.251477
303993,-9.81479,1.06339,-0.258662
304997,-9.80042,1.04183,-0.215552
306005,-9.86509,1.04902,-0.193997
307016,-9.85072,1.04902,-0.186812
308022,-9.82916,1.08494,-0.237107
309034,-9.8579,1.0562,-0.222737
310051,-9.86509,1.04183,-0.150886
311057,-9.81479,1.02028,-0.186812
312061,-9.82197,1.08494,-0.193997
313065,-9.77886,1.09213,-0.215552
314067,-9.83635,1.07057,-0.179626
315073,-9.8579,1.02028,-0.186812
316081,-9.79323,1.0562,-0.215552
317085,-9.83635,1.03465,-0.193997
318087,-9.81479,1.04183,-0.193997
319091,-9.81479,1.00591,-0.244292
320094,-9.82916,1.07057,-0.201182
321098,-9.8076,1.07776,-0.179626
322105,-9.8076,1.01309,-0.193997
323109,-9.83635,1.04902,-0.165256
324113,-9.8579,1.04183,-0.215552
325123,-9.87946,1.02746,-0.201182
326132,-9.83635,1.11368,-0.158071
327147,-9.90101,0.977168,-0.201182
328158,-9.87227,1.12805,-0.215552
329164,-9.83635,0.991538,-0.193997
330166,-9.79323,1.07057,-0.208367
331169,-9.83635,1.07057,-0.208367
332172,-9.87946,0.977168,-0.237107
333178,-9.85072,1.14242,-0.222737
334182,-9.8579,0.991538,-0.265847
335188,-9.77886,1.02746,-0.222737
336196,-9.85072,1.13524,-0.193997
337198,-9.82197,1.00591,-0.237107
338202,-9.80042,1.07776,-0.201182
339205,-9.8579,0.977168,-0.237107
340207,-9.81479,1.11368,-0.215552
341215,-9.83635,1.04902,-0.229922
342215,-9.82197,1.1065,-0.172441
343224,-9.9082,1.04183,-0.172441
344230,-9.8579,1.07776,-0.201182
345244,-9.8076,1.0562,-0.186812
346248,-9.84353,1.03465,-0.208367
347252,-9.85072,1.06339,-0.208367
348256,-9.87227,1.01309,-0.179626
349260,-9.85072,1.04902,-0.229922
350264,-9.8579,1.03465,-0.208367
351265,-9.79323,1.06339,-0.229922
352271,-9.80042,1.08494,-0.208367
353271,-9.82916,1.0562,-0.265847
354273,-9.87227,1.04902,-0.237107
355279,-9.80042,1.06339,-0.215552
356282,-9.90101,1.04902,-0.201182
357286,-9.86509,1.00591,-0.114961
358289,-9.82916,1.04902,-0.186812
359295,-9.81479,1.03465,-0.258662
360299,-9.8076,1.06339,-0.201182
361302,-9.8076,1.02746,-0.244292
362302,-9.81479,1.06339,-0.201182
363308,-9.82197,1.04183,-0.251477
364312,-9.86509,1.02746,-0.229922
365316,-9.88664,1.02746,-0.193997
366326,-9.87946,1.02028,-0.237107
367330,-9.82916,1.07776,-0.251477
368330,-9.84353,1.07057,-0.143701
369333,-9.85072,1.04902,-0.208367
370334,-9.8076,1.07057,-0.208367
371341,-9.85072,1.00591,-0.193997
372343,-9.8076,1.07057,-0.244292
373346,-9.89383,1.09213,-0.143701
374357,-9.87946,1.02028,-0.201182
375359,-9.85072,1.07057,-0.193997
376363,-9.85072,1.02028,-0.337698
377367,-9.82197,1.09931,-0.237107
378371,-9.80042,1.07776,-0.179626
379375,-9.87946,1.07057,-0.158071
380375,-9.82197,1.01309,-0.186812
381382,-9.82916,1.06339,-0.222737
382386,-9.86509,0.977168,-0.244292
383392,-9.75731,1.09213,-0.179626
384401,-9.82197,1.06339,-0.193997
385407,-9.85072,1.0562,-0.258662
386415,-9.8076,1.09931,-0.244292
387417,-9.84353,1.04902,-0.229922
388420,-9.79323,1.12805,-0.158071
389426,-9.83635,0.948428,-0.287402
390429,-9.82197,1.09213,-0.179626
391432,-9.83635,1.01309,-0.193997
392438,-9.90101,0.998723,-0.0718506
393442,-9.86509,1.07776,-0.229922
394445,-9.81479,1.03465,-0.244292
395449,-9.82197,1.15679,-0.186812
396459,-9.85072,0.955613,-0.251477
397463,-9.8076,1.07057,-0.215552
398464,-9.85072,1.13524,-0.294587
399465,-9.82916,1.04183,-0.237107
400466,-9.8579,1.1065,-0.258662
401473,-9.84353,1.16398,-0.265847
402486,-9.88664,0.955613,-0.193997
403491,-9.88664,1.09931,-0.179626
404495,-9.81479,1.12805,-0.215552
405499,-9.86509,0.948428,-0.280217
406507,-9.8076,1.14242,-0.193997
407514,-9.8579,1.03465,-0.215552
408518,-9.8076,1.12805,-0.208367
409522,-9.87227,0.984353,-0.172441
410522,-9.76449,1.17835,-0.193997
411533,-9.8579,0.991538,-0.158071
412533,-9.83635,1.14242,-0.186812
413536,-9.84353,1.07057,-0.237107
414542,-9.84353,1.04183,-0.258662
415576,0.229922,11.5033,-190.347
416580,-9.8579,1.13524,-0.193997
